ship date;tracking;state;zip;custom weight;weight;zone;I;rate;shipper
2016/1/27;1Z2E372V0395595339;MA;1609;1.5;2;8;Ground Residential;6.94;GMPvitas
2016/1/27;1Z2E372V0395595339;MA;1609;0;0;8;Residential Surcharge;2.11;GMPvitas
2016/1/27;1Z2E372V0395595339;MA;1609;0;0;8;Fuel Surcharge;0.47;GMPvitas
2016/1/27;1Z2E372V0395595339;MA;1609;0;0;8;Ground Residential;0;GMPvitas
2016/1/28;1Z2E372V0394778125;MA;1609;1.5;2;8;Ground Residential;6.94;GMPvitas
2016/1/28;1Z2E372V0394778125;MA;1609;0;0;8;Residential Surcharge;2.11;GMPvitas
2016/1/28;1Z2E372V0394778125;MA;1609;0;0;8;Fuel Surcharge;0.47;GMPvitas
2016/1/28;1Z2E372V0394778125;MA;1609;0;0;8;Ground Residential;0;GMPvitas
2016/2/3;1Z2E372V0396312365;MA;2131;1.5;2;8;Ground Residential;6.94;GMPvitas
2016/2/3;1Z2E372V0396312365;MA;2131;0;0;8;Residential Surcharge;2.11;GMPvitas
2016/2/3;1Z2E372V0396312365;MA;2131;0;0;8;Fuel Surcharge;0.45;GMPvitas
2016/2/3;1Z2E372V0396312365;MA;2131;0;0;8;Ground Residential;0;GMPvitas
2016/2/4;1Z2E372V0390101219;FL;33559;4;4;8;Ground Residential;7.56;GMPvitas
2016/2/4;1Z2E372V0390101219;FL;33559;0;0;8;Residential Surcharge;2.11;GMPvitas
2016/2/4;1Z2E372V0390101219;FL;33559;0;0;8;Fuel Surcharge;0.48;GMPvitas
2016/2/4;1Z2E372V0393424606;MI;48083;2.5;3;8;Ground Residential;7.05;GMPvitas
2016/2/4;1Z2E372V0393424606;MI;48083;0;0;8;Residential Surcharge;2.11;GMPvitas
2016/2/4;1Z2E372V0393424606;MI;48083;0;0;8;Fuel Surcharge;0.46;GMPvitas
2016/2/8;1Z2E372V0390130223;PA;19013;4.5;5;8;Ground Commercial;7.67;GMPvitas
2016/2/8;1Z2E372V0390130223;PA;19013;0;0;8;Fuel Surcharge;0.38;GMPvitas
2016/1/21;1Z091YW70391694542;FL;32084;13;13;8;Ground Commercial Third Party;10.93;M T L International
2016/1/21;1Z091YW70391694542;FL;32084;0;0;8;Fuel Surcharge;0.58;M T L International
2016/1/21;1Z091YW70391694542;FL;32084;0;0;8;Third Party Billing Service;0.29;M T L International
2016/2/1;1Z091YW70395606620;NJ;7701;24;40;8;Ground Commercial Third Party;25.83;M T L International
2016/2/1;1Z091YW70395606620;NJ;7701;0;0;8;Fuel Surcharge;1.29;M T L International
2016/2/1;1Z091YW70395606620;NJ;7701;0;0;8;Third Party Billing Service;0.68;M T L International
2016/2/1;1Z091YW70395606620;NJ;7701;0;0;8;Ground Commercial Third Party;0;M T L International
2016/2/1;1Z091YW70395772432;NC;27355;16;27;8;Ground Residential Third Party;20;M T L International
2016/2/1;1Z091YW70395772432;NC;27355;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/1;1Z091YW70395772432;NC;27355;0;0;8;Delivery Area Surcharge - Extended;4;M T L International
2016/2/1;1Z091YW70395772432;NC;27355;0;0;8;Fuel Surcharge;1.31;M T L International
2016/2/1;1Z091YW70395772432;NC;27355;0;0;8;Third Party Billing Service;0.69;M T L International
2016/2/1;1Z091YW70395772432;NC;27355;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/1;1Z091YW70393094660;MO;64083;5;10;6;Ground Residential Third Party;7.91;M T L International
2016/2/1;1Z091YW70393094660;MO;64083;0;0;6;Residential Surcharge;2.11;M T L International
2016/2/1;1Z091YW70393094660;MO;64083;0;0;6;Fuel Surcharge;0.5;M T L International
2016/2/1;1Z091YW70393094660;MO;64083;0;0;6;Third Party Billing Service;0.26;M T L International
2016/2/1;1Z091YW70393094660;MO;64083;0;0;6;Ground Residential Third Party;0;M T L International
2016/2/1;1Z091YW70393338085;DE;19711;5;10;8;Ground Residential Third Party;9.73;M T L International
2016/2/1;1Z091YW70393338085;DE;19711;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/1;1Z091YW70393338085;DE;19711;0;0;8;Fuel Surcharge;0.59;M T L International
2016/2/1;1Z091YW70393338085;DE;19711;0;0;8;Third Party Billing Service;0.31;M T L International
2016/2/1;1Z091YW70393338085;DE;19711;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/1;1Z091YW70390338090;FL;33126;5;10;8;Ground Commercial Third Party;9.42;M T L International
2016/2/1;1Z091YW70390338090;FL;33126;0;0;8;Fuel Surcharge;0.47;M T L International
2016/2/1;1Z091YW70390338090;FL;33126;0;0;8;Third Party Billing Service;0.25;M T L International
2016/2/1;1Z091YW70390338090;FL;33126;0;0;8;Ground Commercial Third Party;0;M T L International
2016/2/1;1Z091YW70392342303;OH;44212;24;40;8;Ground Residential Third Party;26.72;M T L International
2016/2/1;1Z091YW70392342303;OH;44212;0;0;8;Residential Surcharge;2.11;M T L International
