ship date;tracking;state;zip;custom weight;weight;zone;G;;I;;;J;shipper
2015/12/24;1Z2E372V4390720181;NJ;7310;3;8;8;FRT;3;Ground Commercial;0;3.8;6.61;GMPvitas
2015/12/24;1Z2E372V4390720181;NJ;7310;0;0;8;ACC;DCR;Delivery Confirmation Response;0;0;2;GMPvitas
2015/12/24;1Z2E372V4390720181;NJ;7310;0;0;8;FSC;FSC;Fuel Surcharge;10.41;0.2;0.35;GMPvitas
2016/1/4;1Z2E372V4392703231;CA;94536;47;47;4;FRT;3;Ground Commercial;0;10.3;14.2;Health Avenue
2016/1/4;1Z2E372V4392703231;CA;94536;0;0;4;ACC;DCR;Delivery Confirmation Response;0;0;2;Health Avenue
2016/1/4;1Z2E372V4392703231;CA;94536;0;0;4;FSC;FSC;Fuel Surcharge;24.5;0.54;0.75;Health Avenue
2016/1/4;1Z2E372V4392761820;CA;94536;33;33;4;FRT;3;Ground Commercial;0;7.86;10.87;Health Avenue
2016/1/4;1Z2E372V4392761820;CA;94536;0;0;4;ACC;DCR;Delivery Confirmation Response;0;0;2;Health Avenue
2016/1/4;1Z2E372V4392761820;CA;94536;0;0;4;FSC;FSC;Fuel Surcharge;18.73;0.41;0.57;Health Avenue
2016/1/4;1Z2E372V4393748816;CA;94108;52.7;53;4;FRT;3;Ground Commercial;0;11.39;13.91;Health Avenue
2016/1/4;1Z2E372V4393748816;CA;94108;0;0;4;ACC;DCR;Delivery Confirmation Response;0;0;2;Health Avenue
2016/1/4;1Z2E372V4393748816;CA;94108;0;0;4;FSC;FSC;Fuel Surcharge;25.3;0.6;0.73;Health Avenue
2016/1/6;1Z2E372V4293429047;CA;95064;4;4;3;FRT;3;Ground Residential;0;1.87;6.94;GMPvitas
2016/1/6;1Z2E372V4293429047;CA;95064;0;0;3;ACC;RES;Residential Surcharge;0;1.14;2.11;GMPvitas
2016/1/6;1Z2E372V4293429047;CA;95064;0;0;3;ACC;DCS;Delivery Confirmation Signature;0;0;4.25;GMPvitas
2016/1/6;1Z2E372V4293429047;CA;95064;0;0;3;FSC;FSC;Fuel Surcharge;12.06;0.16;0.47;GMPvitas
2015/12/14;1Z091YW70394488706;OH;44221;32;38;8;FRT;3;Ground Residential Third Party;0;16.43;24.64;M T L International
2015/12/14;1Z091YW70394488706;OH;44221;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/14;1Z091YW70394488706;OH;44221;0;0;8;FSC;FSC;Fuel Surcharge;44.17;0.92;1.4;M T L International
2015/12/14;1Z091YW70394488706;OH;44221;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
