shipper;tracking;ship date;state;zip;customer weight;weight;zone;Ground Commercial;Ground Residential;Ground Residential Third Party;Ground Commercial Third Party;residential surcharge;delivery area surcharge;Delivery Area Surcharge - Extended;fuel surcharge;total;freight rate;2nd Day Air Residential;Delivery Confirmation Signature;Declared Value;Delivery Confirmation Response;Returns Print and Mail Label;Residential Adjustment;Remote Area Surcharge;exception
GMPvitas;1Z2E372V0390072877;2016/1/19;MA;2130;2;2;8;;8.57;;;3.25;;;0.62;12.44;;;;;;;;;
GMPvitas;1Z2E372V0390184096;2016/1/19;OH;45040;1;2;8;;8.57;;;3.25;;;0.62;12.44;;;;;;;;;
GMPvitas;1Z2E372V0390239358;2016/1/19;PA;15213;2;2;8;;8.57;;;3.25;;;0.62;12.44;;;;;;;;;
GMPvitas;1Z2E372V0391312383;2016/1/19;MA;2171;2;2;8;;8.57;;;3.25;;;0.62;12.44;;;;;;;;;
GMPvitas;1Z2E372V0392949140;2016/1/19;NY;10013;2;3;8;;9.47;;;3.25;;;0.67;13.39;;;;;;;;;
GMPvitas;1Z2E372V0393976912;2016/1/19;MI;48642;1;2;8;;8.57;;;3.25;;;0.62;12.44;;;;;;;;;
GMPvitas;1Z2E372V0394593922;2016/1/19;IN;46322;0.9;2;7;;8.33;;;3.25;;;0.61;12.19;;;;;;;;;
GMPvitas;1Z2E372V0394832306;2016/1/19;DE;19713;2;2;8;8.57;;;;;;;0.45;9.02;;;;;;;;;
GMPvitas;1Z2E372V0395647274;2016/1/19;NY;11220;1;2;8;;8.57;;;3.25;;;0.62;12.44;;;;;;;;;
GMPvitas;1Z2E372V0395760285;2016/1/20;PA;19107;3;3;8;;9.47;;;3.25;;;0.67;13.39;;;;;;;;;
GMPvitas;1Z2E372V0399291294;2016/1/20;IN;47906;2.7;3;7;;8.96;;;3.25;;;0.64;12.85;;;;;;;;;
GMPvitas;1Z2E372V0390394065;2016/1/21;NC;27606;2;3;8;;9.47;;;3.25;;;0.67;13.39;;;;;;;;;
GMPvitas;1Z2E372V0391417074;2016/1/21;NY;11375;2;2;8;;8.57;;;3.25;;;0.62;12.44;;;;;;;;;
GMPvitas;1Z2E372V0391768481;2016/1/21;OH;43402;3;3;8;;9.47;;;3.25;;;0.67;13.39;;;;;;;;;
GMPvitas;1Z2E372V0392304292;2016/1/21;NY;10006;1.5;2;8;;8.57;;;3.25;;;0.62;12.44;;;;;;;;;
GMPvitas;1Z2E372V0398640300;2016/1/21;VA;20190;2;2;8;8.57;;;;;;;0.45;9.02;;;;;;;;;
Health Avenue;1Z2E372V0391735435;2016/1/19;NY;10002;34;34;8;27.64;;;;;;;1.45;29.09;;;;;;;;;
Health Avenue;1Z2E372V0392056408;2016/1/19;NY;10002;35.3;36;8;28.94;;;;;;;1.52;30.46;;;;;;;;;
Health Avenue;1Z2E372V0392283458;2016/1/19;NY;10002;35.1;36;8;28.94;;;;;;;1.52;30.46;;;;;;;;;
Health Avenue;1Z2E372V0393266028;2016/1/19;LA;70062;39.2;40;7;26.61;;;;;;;1.4;28.01;;;;;;;;;
Health Avenue;1Z2E372V0393724194;2016/1/19;LA;70062;11.2;12;7;12.25;;;;;;;0.64;12.89;;;;;;;;;
Health Avenue;1Z2E372V0394445010;2016/1/19;NY;10002;33.3;34;8;27.64;;;;;;;1.45;29.09;;;;;;;;;
Health Avenue;1Z2E372V0394509246;2016/1/19;NY;10002;32;32;8;26.18;;;;;;;1.37;27.55;;;;;;;;;
M T L International;1Z091YW70394318167;2016/1/8;FL;33166;5;10;8;;;;12.69;;;;0.67;13.36;;;;;;;;;
M T L International;1Z091YW70393628619;2016/1/15;WV;25878;24;40;8;;;30.72;;3.25;3.15;;1.95;39.07;;;;;;;;;
M T L International;1Z091YW70397482484;2016/1/18;TX;78155;6;6;6;;;9.26;;3.25;;4;0.66;13.17;;;;;;;;;
M T L International;1Z091YW70395406711;2016/1/18;CT;6239;16;27;8;;;23.85;;3.25;;;1.42;28.52;;;;;;;;;
M T L International;1Z091YW70392428328;2016/1/18;ME;4730;17;30;8;;;;26.23;;;2.3;1.38;27.61;;;;;;;;;
M T L International;1Z091YW70393174378;2016/1/18;FL;34482;16;27;8;;;23.85;;3.25;;;1.42;28.52;;;;;;;;;
M T L International;1Z091YW70394898451;2016/1/18;KY;42240;24;40;7;;;26.22;;3.25;;;1.55;31.02;;;;;;;;;
M T L International;1Z091YW70394087274;2016/1/18;NC;28778;5;10;8;;;12.69;;3.25;3.15;;1;20.09;;;;;;;;;
M T L International;1Z091YW70397983531;2016/1/19;FL;34769;16;28;8;;;;24.67;3.25;;;1.47;29.39;;;;;;;;;
M T L International;1Z091YW70396069763;2016/1/19;TX;77346;5;10;6;;;10.32;;3.25;;;0.71;14.28;;;;;;;;;
M T L International;1Z091YW70397898606;2016/1/19;WA;98208;5;10;5;;;9.73;;3.25;;;0.68;13.66;;;;;;;;;
M T L International;1Z091YW70395405865;2016/1/19;OK;74029;17;30;6;;;;18.98;;;2.3;1;19.98;;;;;;;;;
M T L International;1Z091YW70399706685;2016/1/19;TX;76266;16;27;6;;;17.35;;3.25;3.15;;1.25;25;;;;;;;;;
M T L International;1Z091YW70395078915;2016/1/19;CA;95307;24;40;3;;;13.09;;3.25;;;0.86;17.2;;;;;;;;;
M T L International;1Z091YW70399339555;2016/1/19;FL;34135;4;10;8;;;12.69;;3.25;;;0.84;16.78;;;;;;;;;
M T L International;1Z091YW70396426779;2016/1/19;IL;60402;5;10;7;;;;11.49;;;;0.6;12.09;;;;;;;;;
M T L International;1Z091YW70397354587;2016/1/19;NY;12590;5;10;8;;;12.69;;3.25;;;0.84;16.78;;;;;;;;;
M T L International;1Z091YW70395317193;2016/1/19;MO;65625;5;10;6;;;10.32;;3.25;;4;0.71;14.28;;;;;;;;;
M T L International;1Z091YW70398402817;2016/1/19;FL;32726;6;15;8;;;14.92;;3.25;;;0.95;19.12;;;;;;;;;
M T L International;1Z091YW70396892248;2016/1/19;FL;33976;17;30;8;;;26.23;;3.25;;;1.55;31.03;;;;;;;;;
M T L International;1Z091YW70395527653;2016/1/19;GA;31069;17;30;8;;;26.23;;3.25;3.15;;1.71;34.34;;;;;;;;;
M T L International;1Z091YW70398750870;2016/1/19;IN;47243;17;30;8;;;;26.23;;;2.3;1.38;27.61;;;;;;;;;
M T L International;1Z091YW70398687734;2016/1/19;KS;67867;16;27;6;;;17.35;;3.25;;4;1.08;21.68;;;;;;;;;
M T L International;1Z091YW70398453825;2016/1/19;PA;19518;13;13;8;;;13.43;;3.25;;;0.88;17.56;;;;;;;;;
M T L International;1Z091YW70397937297;2016/1/19;NH;3281;16;27;8;;;23.85;;3.25;3.15;;1.59;31.84;;;;;;;;;
M T L International;1Z091YW70395226700;2016/1/19;OH;44004;16;27;8;;;23.85;;3.25;;;1.42;28.52;;;;;;;;;
M T L International;1Z091YW70395317924;2016/1/19;TX;75077;24;40;6;;;22.53;;3.25;;;1.35;27.13;;;;;;;;;
M T L International;1Z091YW70398595637;2016/1/19;CO;80216;24;40;5;;;;17.73;;;;0.93;18.66;;;;;;;;;
M T L International;1Z091YW70394842528;2016/1/20;TX;77450;17;30;6;;;18.98;;3.25;;;1.17;23.4;;;;;;;;;
M T L International;1Z091YW70396452348;2016/1/20;CO;80113;14;14;5;;;9.82;;3.25;;;0.69;13.76;;;;;;;;;
M T L International;1Z091YW70398538789;2016/1/20;TX;75428;16;27;6;;;17.35;;3.25;;4;1.08;21.68;;;;;;;;;
