SHIP DATE		TRACKING		CITY	STATE	ZIP					WEIGHT	ZONE			
2015/10/26		1Z091YW70395071921		TAMPA	FL	33614	FRT	3	Ground Residential Third Party	1	10	8	0		14.49
2015/10/26		1Z091YW70395071921		TAMPA	FL	33614	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/10/26		1Z091YW70395071921		TAMPA	FL	33614	FSC	FSC	Fuel Surcharge	1	0	8	17.59		0.84
2015/10/26		1Z091YW70395071921		TAMPA	FL	33614	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/2		1Z091YW70399528163		CHICAGO	IL	60629	FRT	3	Ground Residential Third Party	1	13	7	0		15.7
2015/11/2		1Z091YW70399528163		CHICAGO	IL	60629	ACC	RES	Residential Surcharge	1	0	7	0		3.1
2015/11/2		1Z091YW70399528163		CHICAGO	IL	60629	FSC	FSC	Fuel Surcharge	1	0	7	18.8		0.99
2015/11/2		1Z091YW70399528163		CHICAGO	IL	60629	INF	3	Ground Residential Third Party	1	0	7	0		0
2015/11/2		1Z091YW70399784261		LUDOWICI	GA	31316	FRT	3	Ground Residential Third Party	1	38	8	0		41.07
2015/11/2		1Z091YW70399784261		LUDOWICI	GA	31316	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/2		1Z091YW70399784261		LUDOWICI	GA	31316	ACC	LDR	Delivery Area Surcharge - Extended	1	0	8	0		3.8
2015/11/2		1Z091YW70399784261		LUDOWICI	GA	31316	FSC	FSC	Fuel Surcharge	1	0	8	47.97		2.52
2015/11/2		1Z091YW70399784261		LUDOWICI	GA	31316	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/2		1Z091YW70399725379		SELMA	AL	36701	FRT	3	Ground Residential Third Party	1	38	7	0		34.66
2015/11/2		1Z091YW70399725379		SELMA	AL	36701	ACC	RES	Residential Surcharge	1	0	7	0		3.1
2015/11/2		1Z091YW70399725379		SELMA	AL	36701	ACC	LDR	Delivery Area Surcharge - Extended	1	0	7	0		3.8
2015/11/2		1Z091YW70399725379		SELMA	AL	36701	FSC	FSC	Fuel Surcharge	1	0	7	41.56		2.18
2015/11/2		1Z091YW70399725379		SELMA	AL	36701	INF	3	Ground Residential Third Party	1	0	7	0		0
2015/11/2		1Z091YW70392286311		LILLINGTON	NC	27546	FRT	3	Ground Residential Third Party	1	38	8	0		41.07
2015/11/2		1Z091YW70392286311		LILLINGTON	NC	27546	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/2		1Z091YW70392286311		LILLINGTON	NC	27546	ACC	LDR	Delivery Area Surcharge - Extended	1	0	8	0		3.8
2015/11/2		1Z091YW70392286311		LILLINGTON	NC	27546	FSC	FSC	Fuel Surcharge	1	0	8	47.97		2.52
2015/11/2		1Z091YW70392286311		LILLINGTON	NC	27546	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/4		1Z091YW70397981202		RATHDRUM	ID	83858	FRT	3	Ground Commercial Third Party	1	38	5	0		23.82
2015/11/4		1Z091YW70397981202		RATHDRUM	ID	83858	ACC	LDC	Delivery Area Surcharge - Extended	1	0	5	0		2.2
2015/11/4		1Z091YW70397981202		RATHDRUM	ID	83858	FSC	FSC	Fuel Surcharge	1	0	5	26.02		1.37
2015/11/4		1Z091YW70397981202		RATHDRUM	ID	83858	INF	3	Ground Commercial Third Party	1	0	5	0		0
2015/11/4		1Z091YW70397446844		SPRINGFIELD	OR	97478	FRT	3	Ground Commercial Third Party	1	38	5	0		23.82
2015/11/4		1Z091YW70397446844		SPRINGFIELD	OR	97478	FSC	FSC	Fuel Surcharge	1	0	5	23.82		1.25
2015/11/4		1Z091YW70397446844		SPRINGFIELD	OR	97478	INF	3	Ground Commercial Third Party	1	0	5	0		0
2015/11/4		1Z091YW70397693416		SAN ANGELO	TX	76904	FRT	3	Ground Residential Third Party	1	40	6	0		29.87
2015/11/4		1Z091YW70397693416		SAN ANGELO	TX	76904	ACC	RES	Residential Surcharge	1	0	6	0		3.1
2015/11/4		1Z091YW70397693416		SAN ANGELO	TX	76904	FSC	FSC	Fuel Surcharge	1	0	6	32.97		1.73
2015/11/4		1Z091YW70397693416		SAN ANGELO	TX	76904	INF	3	Ground Residential Third Party	1	0	6	0		0
2015/11/4		1Z091YW70396422237		ROMULUS	MI	48174	FRT	3	Ground Residential Third Party	1	38	8	0		41.07
2015/11/4		1Z091YW70396422237		ROMULUS	MI	48174	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/4		1Z091YW70396422237		ROMULUS	MI	48174	FSC	FSC	Fuel Surcharge	1	0	8	44.17		2.32
2015/11/4		1Z091YW70396422237		ROMULUS	MI	48174	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/4		1Z091YW70395050257		MADISON	OH	44057	FRT	3	Ground Residential Third Party	1	38	8	0		41.07
2015/11/4		1Z091YW70395050257		MADISON	OH	44057	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/4		1Z091YW70395050257		MADISON	OH	44057	FSC	FSC	Fuel Surcharge	1	0	8	44.17		2.32
2015/11/4		1Z091YW70395050257		MADISON	OH	44057	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/4		1Z091YW70399336469		Tampa	FL	33637	FRT	3	Ground Residential Third Party	1	40	8	0		41.07
2015/11/4		1Z091YW70399336469		Tampa	FL	33637	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/4		1Z091YW70399336469		Tampa	FL	33637	FSC	FSC	Fuel Surcharge	1	0	8	44.17		2.32
2015/11/4		1Z091YW70399336469		Tampa	FL	33637	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/4		1Z091YW70396592429		EAGLE ROCK	VA	24085	FRT	3	Ground Residential Third Party	1	38	8	0		41.07
2015/11/4		1Z091YW70396592429		EAGLE ROCK	VA	24085	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/4		1Z091YW70396592429		EAGLE ROCK	VA	24085	ACC	LDR	Delivery Area Surcharge - Extended	1	0	8	0		3.8
2015/11/4		1Z091YW70396592429		EAGLE ROCK	VA	24085	FSC	FSC	Fuel Surcharge	1	0	8	47.97		2.52
2015/11/4		1Z091YW70396592429		EAGLE ROCK	VA	24085	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/5		1Z091YW70392849052		OKLAHOMA CITY	OK	73109	FRT	3	Ground Commercial Third Party	1	17	6	0		15.48
2015/11/5		1Z091YW70392849052		OKLAHOMA CITY	OK	73109	FSC	FSC	Fuel Surcharge	1	0	6	15.48		0.81
2015/11/5		1Z091YW70390371366		LOS FRESNOS	TX	78566	FRT	3	Ground Residential Third Party	1	10	6	0		11.79
2015/11/5		1Z091YW70390371366		LOS FRESNOS	TX	78566	ACC	RES	Residential Surcharge	1	0	6	0		3.1
2015/11/5		1Z091YW70390371366		LOS FRESNOS	TX	78566	ACC	LDR	Delivery Area Surcharge - Extended	1	0	6	0		3.8
2015/11/5		1Z091YW70390371366		LOS FRESNOS	TX	78566	FSC	FSC	Fuel Surcharge	1	0	6	18.69		0.98
2015/11/5		1Z091YW70390371366		LOS FRESNOS	TX	78566	INF	3	Ground Residential Third Party	1	0	6	0		0
2015/11/5		1Z091YW70392922785		MIAMI	FL	33122	FRT	3	Ground Commercial Third Party	1	10	8	0		14.49
2015/11/5		1Z091YW70392922785		MIAMI	FL	33122	FSC	FSC	Fuel Surcharge	1	0	8	14.49		0.76
2015/11/5		1Z091YW70392922785		MIAMI	FL	33122	INF	3	Ground Commercial Third Party	1	0	8	0		0
2015/11/5		1Z091YW70390496795		AMISSVILLE	VA	20106	FRT	3	Ground Residential Third Party	1	10	8	0		14.49
2015/11/5		1Z091YW70390496795		AMISSVILLE	VA	20106	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/5		1Z091YW70390496795		AMISSVILLE	VA	20106	ACC	LDR	Delivery Area Surcharge - Extended	1	0	8	0		3.8
2015/11/5		1Z091YW70390496795		AMISSVILLE	VA	20106	FSC	FSC	Fuel Surcharge	1	0	8	21.39		1.12
2015/11/5		1Z091YW70390496795		AMISSVILLE	VA	20106	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/5		1Z091YW70394261414		WALLER	TX	77484	FRT	3	Ground Residential Third Party	1	40	6	0		29.87
2015/11/5		1Z091YW70394261414		WALLER	TX	77484	ACC	RES	Residential Surcharge	1	0	6	0		3.1
2015/11/5		1Z091YW70394261414		WALLER	TX	77484	ACC	LDR	Delivery Area Surcharge - Extended	1	0	6	0		3.8
2015/11/5		1Z091YW70394261414		WALLER	TX	77484	FSC	FSC	Fuel Surcharge	1	0	6	36.77		1.93
2015/11/5		1Z091YW70394261414		WALLER	TX	77484	INF	3	Ground Residential Third Party	1	0	6	0		0
2015/11/5		1Z091YW70394060024		LAREDO	TX	78046	FRT	3	Ground Residential Third Party	1	30	6	0		24.57
2015/11/5		1Z091YW70394060024		LAREDO	TX	78046	ACC	RES	Residential Surcharge	1	0	6	0		3.1
2015/11/5		1Z091YW70394060024		LAREDO	TX	78046	FSC	FSC	Fuel Surcharge	1	0	6	27.67		1.45
2015/11/5		1Z091YW70394060024		LAREDO	TX	78046	INF	3	Ground Residential Third Party	1	0	6	0		0
2015/11/5		1Z091YW70394274839		WOODHAVEN	NY	11421	FRT	3	Ground Residential Third Party	1	17	8	0		19.9
2015/11/5		1Z091YW70394274839		WOODHAVEN	NY	11421	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/5		1Z091YW70394274839		WOODHAVEN	NY	11421	FSC	FSC	Fuel Surcharge	1	0	8	23		1.21
2015/11/5		1Z091YW70394274839		WOODHAVEN	NY	11421	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/5		1Z091YW70394709842		LAWRENCE	MA	1843	FRT	3	Ground Residential Third Party	1	33	8	0		36.76
2015/11/5		1Z091YW70394709842		LAWRENCE	MA	1843	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/5		1Z091YW70394709842		LAWRENCE	MA	1843	FSC	FSC	Fuel Surcharge	1	0	8	39.86		2.09
2015/11/5		1Z091YW70394709842		LAWRENCE	MA	1843	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/5		1Z091YW70391176076		CEDAR HILL	TX	75104	FRT	3	Ground Residential Third Party	1	40	6	0		29.87
2015/11/5		1Z091YW70391176076		CEDAR HILL	TX	75104	ACC	RES	Residential Surcharge	1	0	6	0		3.1
2015/11/5		1Z091YW70391176076		CEDAR HILL	TX	75104	FSC	FSC	Fuel Surcharge	1	0	6	32.97		1.73
2015/11/5		1Z091YW70391176076		CEDAR HILL	TX	75104	INF	3	Ground Residential Third Party	1	0	6	0		0
2015/11/5		1Z091YW70391348970		ENDICOTT	NY	13760	FRT	3	Ground Residential Third Party	1	10	8	0		14.49
2015/11/5		1Z091YW70391348970		ENDICOTT	NY	13760	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/5		1Z091YW70391348970		ENDICOTT	NY	13760	FSC	FSC	Fuel Surcharge	1	0	8	17.59		0.92
2015/11/5		1Z091YW70391348970		ENDICOTT	NY	13760	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/5		1Z091YW70394155002		LYNCHBURG	VA	24501	FRT	3	Ground Commercial Third Party	1	15	8	0		19.32
2015/11/5		1Z091YW70394155002		LYNCHBURG	VA	24501	FSC	FSC	Fuel Surcharge	1	0	8	19.32		1.01
2015/11/5		1Z091YW70394155002		LYNCHBURG	VA	24501	INF	3	Ground Commercial Third Party	1	0	8	0		0
2015/11/5		1Z091YW70394456464		Weston	WV	26452	FRT	3	Ground Residential Third Party	1	38	8	0		41.07
2015/11/5		1Z091YW70394456464		Weston	WV	26452	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/5		1Z091YW70394456464		Weston	WV	26452	ACC	LDR	Delivery Area Surcharge - Extended	1	0	8	0		3.8
2015/11/5		1Z091YW70394456464		Weston	WV	26452	FSC	FSC	Fuel Surcharge	1	0	8	47.97		2.52
2015/11/5		1Z091YW70394456464		Weston	WV	26452	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/6		1Z091YW70393197120		Bluebell	UT	84007	FRT	3	Ground Commercial Third Party	1	40	4	0		19.7
2015/11/6		1Z091YW70393197120		Bluebell	UT	84007	ACC	RES	Residential Adjustment	1	38	4	0		4.95
2015/11/6		1Z091YW70393197120		Bluebell	UT	84007	ACC	LDC	Delivery Area Surcharge - Extended	1	0	4	0		2.2
2015/11/6		1Z091YW70393197120		Bluebell	UT	84007	FSC	FSC	Fuel Surcharge	1	0	4	21.9		1.15
2015/11/6		1Z091YW70393197120		Bluebell	UT	84007	INF	3	Ground Commercial Third Party	1	0	4	0		0
2015/11/6		1Z091YW70390131884		RADCLIFF	KY	40160	FRT	3	Ground Commercial Third Party	1	80	8	0		57.81
2015/11/6		1Z091YW70390131884		RADCLIFF	KY	40160	FSC	FSC	Fuel Surcharge	1	0	8	57.81		3.04
2015/11/6		1Z091YW70390131884		RADCLIFF	KY	40160	INF	3	Ground Commercial Third Party	1	0	8	0		0
2015/11/6		1Z091YW70391456513		CARTHAGE	MO	64836	FRT	3	Ground Residential Third Party	1	30	6	0		24.57
2015/11/6		1Z091YW70391456513		CARTHAGE	MO	64836	ACC	RES	Residential Surcharge	1	0	6	0		3.1
2015/11/6		1Z091YW70391456513		CARTHAGE	MO	64836	ACC	RDR	Delivery Area Surcharge	1	0	6	0		3
2015/11/6		1Z091YW70391456513		CARTHAGE	MO	64836	FSC	FSC	Fuel Surcharge	1	0	6	30.67		1.61
2015/11/6		1Z091YW70391456513		CARTHAGE	MO	64836	INF	3	Ground Residential Third Party	1	0	6	0		0
2015/11/6		1Z091YW70390527895		MEARS	MI	49436	FRT	3	Ground Commercial Third Party	1	40	8	0		41.07
