ship date;tracking;state;zip;custom weight;weight;zone;I;J;shipper;;;;;;
2016/1/19;1Z2E372V0390072877;MA;02130;2;2;8;Ground Residential;6.94;GMPvitas;;;;;;
2016/1/19;1Z2E372V0390072877;MA;02130;0;0;8;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/19;1Z2E372V0390072877;MA;02130;0;0;8;Fuel Surcharge;0.47;GMPvitas;;;;;;
2016/1/19;1Z2E372V0390184096;OH;45040;1;2;8;Ground Residential;6.94;GMPvitas;;;;;;
2016/1/19;1Z2E372V0390184096;OH;45040;0;0;8;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/19;1Z2E372V0390184096;OH;45040;0;0;8;Fuel Surcharge;0.47;GMPvitas;;;;;;
2016/1/19;1Z2E372V0390184096;OH;45040;0;0;8;Ground Residential;0;GMPvitas;;;;;;
2016/1/19;1Z2E372V0390239358;PA;15213;2;2;8;Ground Residential;6.94;GMPvitas;;;;;;
2016/1/19;1Z2E372V0390239358;PA;15213;0;0;8;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/19;1Z2E372V0390239358;PA;15213;0;0;8;Fuel Surcharge;0.47;GMPvitas;;;;;;
2016/1/19;1Z2E372V0391312383;MA;02171;2;2;8;Ground Residential;6.94;GMPvitas;;;;;;
2016/1/19;1Z2E372V0391312383;MA;02171;0;0;8;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/19;1Z2E372V0391312383;MA;02171;0;0;8;Fuel Surcharge;0.47;GMPvitas;;;;;;
2016/1/19;1Z2E372V0391735435;NY;10002;34;34;8;Ground Commercial;22.91;Health Avenue;;;;;;
2016/1/19;1Z2E372V0391735435;NY;10002;0;0;8;Fuel Surcharge;1.2;Health Avenue;;;;;;
2016/1/19;1Z2E372V0392056408;NY;10002;35.3;36;8;Ground Commercial;23.98;Health Avenue;;;;;;
2016/1/19;1Z2E372V0392056408;NY;10002;0;0;8;Fuel Surcharge;1.26;Health Avenue;;;;;;
2016/1/19;1Z2E372V0392283458;NY;10002;35.1;36;8;Ground Commercial;23.98;Health Avenue;;;;;;
2016/1/19;1Z2E372V0392283458;NY;10002;0;0;8;Fuel Surcharge;1.26;Health Avenue;;;;;;
2016/1/19;1Z2E372V0392949140;NY;10013;2;3;8;Ground Residential;6.94;GMPvitas;;;;;;
2016/1/19;1Z2E372V0392949140;NY;10013;0;0;8;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/19;1Z2E372V0392949140;NY;10013;0;0;8;Fuel Surcharge;0.47;GMPvitas;;;;;;
2016/1/19;1Z2E372V0393266028;LA;70062;39.2;40;7;Ground Commercial;22.05;Health Avenue;;;;;;
2016/1/19;1Z2E372V0393266028;LA;70062;0;0;7;Fuel Surcharge;1.16;Health Avenue;;;;;;
2016/1/19;1Z2E372V0393724194;LA;70062;11.2;12;7;Ground Commercial;9.29;Health Avenue;;;;;;
2016/1/19;1Z2E372V0393724194;LA;70062;0;0;7;Fuel Surcharge;0.49;Health Avenue;;;;;;
2016/1/19;1Z2E372V0393976912;MI;48642;1;2;8;Ground Residential;6.94;GMPvitas;;;;;;
2016/1/19;1Z2E372V0393976912;MI;48642;0;0;8;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/19;1Z2E372V0393976912;MI;48642;0;0;8;Fuel Surcharge;0.47;GMPvitas;;;;;;
2016/1/19;1Z2E372V0393976912;MI;48642;0;0;8;Ground Residential;0;GMPvitas;;;;;;
2016/1/19;1Z2E372V0394445010;NY;10002;33.3;34;8;Ground Commercial;22.91;Health Avenue;;;;;;
2016/1/19;1Z2E372V0394445010;NY;10002;0;0;8;Fuel Surcharge;1.2;Health Avenue;;;;;;
2016/1/19;1Z2E372V0394509246;NY;10002;32;32;8;Ground Commercial;21.69;Health Avenue;;;;;;
2016/1/19;1Z2E372V0394509246;NY;10002;0;0;8;Fuel Surcharge;1.14;Health Avenue;;;;;;
2016/1/19;1Z2E372V0394593922;IN;46322;0.9;2;7;Ground Residential;6.94;GMPvitas;;;;;;
2016/1/19;1Z2E372V0394593922;IN;46322;0;0;7;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/19;1Z2E372V0394593922;IN;46322;0;0;7;Fuel Surcharge;0.48;GMPvitas;;;;;;
2016/1/19;1Z2E372V0394593922;IN;46322;0;0;7;Ground Residential;0;GMPvitas;;;;;;
2016/1/19;1Z2E372V0394832306;DE;19713;2;2;8;Ground Commercial;6.94;GMPvitas;;;;;;
2016/1/19;1Z2E372V0394832306;DE;19713;0;0;8;Fuel Surcharge;0.36;GMPvitas;;;;;;
2016/1/19;1Z2E372V0395647274;NY;11220;1;2;8;Ground Residential;6.94;GMPvitas;;;;;;
2016/1/19;1Z2E372V0395647274;NY;11220;0;0;8;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/19;1Z2E372V0395647274;NY;11220;0;0;8;Fuel Surcharge;0.47;GMPvitas;;;;;;
2016/1/19;1Z2E372V0395647274;NY;11220;0;0;8;Ground Residential;0;GMPvitas;;;;;;
2016/1/20;1Z2E372V0395760285;PA;19107;3;3;8;Ground Residential;7.05;GMPvitas;;;;;;
2016/1/20;1Z2E372V0395760285;PA;19107;0;0;8;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/20;1Z2E372V0395760285;PA;19107;0;0;8;Fuel Surcharge;0.48;GMPvitas;;;;;;
2016/1/20;1Z2E372V0399291294;IN;47906;2.7;3;7;Ground Residential;6.94;GMPvitas;;;;;;
2016/1/20;1Z2E372V0399291294;IN;47906;0;0;7;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/20;1Z2E372V0399291294;IN;47906;0;0;7;Fuel Surcharge;0.48;GMPvitas;;;;;;
2016/1/21;1Z2E372V0390394065;NC;27606;2;3;8;Ground Residential;6.94;GMPvitas;;;;;;
2016/1/21;1Z2E372V0390394065;NC;27606;0;0;8;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/21;1Z2E372V0390394065;NC;27606;0;0;8;Fuel Surcharge;0.47;GMPvitas;;;;;;
2016/1/21;1Z2E372V0391417074;NY;11375;2;2;8;Ground Residential;6.94;GMPvitas;;;;;;
2016/1/21;1Z2E372V0391417074;NY;11375;0;0;8;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/21;1Z2E372V0391417074;NY;11375;0;0;8;Fuel Surcharge;0.47;GMPvitas;;;;;;
2016/1/21;1Z2E372V0391768481;OH;43402;3;3;8;Ground Residential;7.05;GMPvitas;;;;;;
2016/1/21;1Z2E372V0391768481;OH;43402;0;0;8;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/21;1Z2E372V0391768481;OH;43402;0;0;8;Fuel Surcharge;0.48;GMPvitas;;;;;;
2016/1/21;1Z2E372V0392304292;NY;10006;1.5;2;8;Ground Residential;6.94;GMPvitas;;;;;;
2016/1/21;1Z2E372V0392304292;NY;10006;0;0;8;Residential Surcharge;2.11;GMPvitas;;;;;;
2016/1/21;1Z2E372V0392304292;NY;10006;0;0;8;Fuel Surcharge;0.47;GMPvitas;;;;;;
2016/1/21;1Z2E372V0392304292;NY;10006;0;0;8;Ground Residential;0;GMPvitas;;;;;;
2016/1/21;1Z2E372V0398640300;VA;20190;2;2;8;Ground Commercial;6.94;GMPvitas;;;;;;
2016/1/21;1Z2E372V0398640300;VA;20190;0;0;8;Fuel Surcharge;0.36;GMPvitas;;;;;;
2016/1/8;1Z091YW70394318167;FL;33166;5;10;8;Ground Commercial Third Party;9.42;M T L International;;;;;;
2016/1/8;1Z091YW70394318167;FL;33166;0;0;8;Fuel Surcharge;0.5;M T L International;;;;;;
2016/1/8;1Z091YW70394318167;FL;33166;0;0;8;Third Party Billing Service;0.25;M T L International;;;;;;
2016/1/8;1Z091YW70394318167;FL;33166;0;0;8;Ground Commercial Third Party;0;M T L International;;;;;;
2016/1/15;1Z091YW70393628619;WV;25878;24;40;8;Ground Residential Third Party;26.72;M T L International;;;;;;
2016/1/15;1Z091YW70393628619;WV;25878;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/15;1Z091YW70393628619;WV;25878;0;0;8;Delivery Area Surcharge;3.15;M T L International;;;;;;
2016/1/15;1Z091YW70393628619;WV;25878;0;0;8;Fuel Surcharge;1.68;M T L International;;;;;;
2016/1/15;1Z091YW70393628619;WV;25878;0;0;8;Third Party Billing Service;0.84;M T L International;;;;;;
2016/1/15;1Z091YW70393628619;WV;25878;0;0;8;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/18;1Z091YW70397482484;TX;78155;6;6;6;Ground Residential Third Party;7.17;M T L International;;;;;;
2016/1/18;1Z091YW70397482484;TX;78155;0;0;6;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/18;1Z091YW70397482484;TX;78155;0;0;6;Delivery Area Surcharge - Extended;4;M T L International;;;;;;
2016/1/18;1Z091YW70397482484;TX;78155;0;0;6;Fuel Surcharge;0.7;M T L International;;;;;;
2016/1/18;1Z091YW70397482484;TX;78155;0;0;6;Third Party Billing Service;0.35;M T L International;;;;;;
2016/1/18;1Z091YW70395406711;CT;06239;16;27;8;Ground Residential Third Party;20;M T L International;;;;;;
2016/1/18;1Z091YW70395406711;CT;06239;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/18;1Z091YW70395406711;CT;06239;0;0;8;Fuel Surcharge;1.16;M T L International;;;;;;
2016/1/18;1Z091YW70395406711;CT;06239;0;0;8;Third Party Billing Service;0.58;M T L International;;;;;;
2016/1/18;1Z091YW70395406711;CT;06239;0;0;8;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/18;1Z091YW70392428328;ME;04730;17;30;8;Ground Commercial Third Party;21.29;M T L International;;;;;;
2016/1/18;1Z091YW70392428328;ME;04730;0;0;8;Delivery Area Surcharge - Extended;2.3;M T L International;;;;;;
2016/1/18;1Z091YW70392428328;ME;04730;0;0;8;Fuel Surcharge;1.24;M T L International;;;;;;
2016/1/18;1Z091YW70392428328;ME;04730;0;0;8;Third Party Billing Service;0.62;M T L International;;;;;;
2016/1/18;1Z091YW70392428328;ME;04730;0;0;8;Ground Commercial Third Party;0;M T L International;;;;;;
2016/1/18;1Z091YW70393174378;FL;34482;16;27;8;Ground Residential Third Party;20;M T L International;;;;;;
2016/1/18;1Z091YW70393174378;FL;34482;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/18;1Z091YW70393174378;FL;34482;0;0;8;Fuel Surcharge;1.16;M T L International;;;;;;
2016/1/18;1Z091YW70393174378;FL;34482;0;0;8;Third Party Billing Service;0.58;M T L International;;;;;;
2016/1/18;1Z091YW70393174378;FL;34482;0;0;8;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/18;1Z091YW70394898451;KY;42240;24;40;7;Ground Residential Third Party;22.81;M T L International;;;;;;
2016/1/18;1Z091YW70394898451;KY;42240;0;0;7;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/18;1Z091YW70394898451;KY;42240;0;0;7;Fuel Surcharge;1.31;M T L International;;;;;;
2016/1/18;1Z091YW70394898451;KY;42240;0;0;7;Third Party Billing Service;0.66;M T L International;;;;;;
2016/1/18;1Z091YW70394898451;KY;42240;0;0;7;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/18;1Z091YW70394087274;NC;28778;5;10;8;Ground Residential Third Party;9.73;M T L International;;;;;;
2016/1/18;1Z091YW70394087274;NC;28778;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
