Ship Date;Tracking;City;State;Zip;Weight;Zone;;;;
2015/11/16;1Z091YW70393456448;WEST PALM BEACH;FL;33415;30;8;FRT;3;Ground Residential Third Party;21.05
2015/11/16;1Z091YW70393456448;WEST PALM BEACH;FL;33415;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/16;1Z091YW70393456448;WEST PALM BEACH;FL;33415;0;8;FSC;FSC;Fuel Surcharge;1.21
2015/11/16;1Z091YW70393456448;WEST PALM BEACH;FL;33415;0;8;INF;3;Ground Residential Third Party;0
2015/11/16;1Z091YW70392158674;LITCHFIELD;IL;62056;60;7;FRT;3;Ground Residential Third Party;25.83
2015/11/16;1Z091YW70392158674;LITCHFIELD;IL;62056;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/16;1Z091YW70392158674;LITCHFIELD;IL;62056;0;7;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/16;1Z091YW70392158674;LITCHFIELD;IL;62056;0;7;FSC;FSC;Fuel Surcharge;1.66
2015/11/16;1Z091YW70392158674;LITCHFIELD;IL;62056;0;7;INF;3;Ground Residential Third Party;0
2015/11/16;1Z091YW70392026708;OSHKOSH;WI;54904;8;7;FRT;3;Ground Residential Third Party;7.55
2015/11/16;1Z091YW70392026708;OSHKOSH;WI;54904;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/16;1Z091YW70392026708;OSHKOSH;WI;54904;0;7;FSC;FSC;Fuel Surcharge;0.5
2015/11/16;1Z091YW70393728538;STAFFORD;VA;22554;10;8;FRT;3;Ground Residential Third Party;9.28
2015/11/16;1Z091YW70393728538;STAFFORD;VA;22554;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/16;1Z091YW70393728538;STAFFORD;VA;22554;0;8;FSC;FSC;Fuel Surcharge;0.59
2015/11/16;1Z091YW70393728538;STAFFORD;VA;22554;0;8;INF;3;Ground Residential Third Party;0
2015/11/16;1Z091YW70394212164;MISSION;TX;78573;40;6;FRT;3;Ground Commercial Third Party;17.33
2015/11/16;1Z091YW70394212164;MISSION;TX;78573;0;6;FSC;FSC;Fuel Surcharge;0.91
2015/11/16;1Z091YW70394212164;MISSION;TX;78573;0;6;INF;3;Ground Commercial Third Party;0
2015/11/16;1Z091YW70393982218;SAN ANGELO;TX;76903;30;6;FRT;3;Ground Commercial Third Party;14.75
2015/11/16;1Z091YW70393982218;SAN ANGELO;TX;76903;0;6;FSC;FSC;Fuel Surcharge;0.77
2015/11/16;1Z091YW70393982218;SAN ANGELO;TX;76903;0;6;INF;3;Ground Commercial Third Party;0
2015/11/16;1Z091YW70391516823;ZANESVILLE;OH;43701;30;8;FRT;3;Ground Residential Third Party;21.05
2015/11/16;1Z091YW70391516823;ZANESVILLE;OH;43701;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/16;1Z091YW70391516823;ZANESVILLE;OH;43701;0;8;FSC;FSC;Fuel Surcharge;1.21
2015/11/16;1Z091YW70391516823;ZANESVILLE;OH;43701;0;8;INF;3;Ground Residential Third Party;0
2015/11/16;1Z091YW70392112874;LEESBURG;OH;45135;30;8;FRT;3;Ground Residential Third Party;21.05
2015/11/16;1Z091YW70392112874;LEESBURG;OH;45135;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/16;1Z091YW70392112874;LEESBURG;OH;45135;0;8;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/16;1Z091YW70392112874;LEESBURG;OH;45135;0;8;FSC;FSC;Fuel Surcharge;1.41
